0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,0.0,24.0,0.0,705.0,0.0,0.2,0.2,0.0,0.0,Sep,2,2,4,4,Returning_Visitor,False,False
27.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.2,0.0,1.0,Nov,3,2,3,8,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,705.0,0.0,0.2,0.2,0.0,1.0,Oct,3,2,8,20,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.0,0.0,1.0,Dec,1,8,3,1,Returning_Visitor,True,False
27.0,0.0,0.0,0.0,0.0,63973.523,0.0,0.0,361.76373,0.0,Mar,2,2,1,1,Returning_Visitor,True,False
0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.0,361.76373,0.0,Nov,3,2,1,6,New_Visitor,True,False
27.0,0.0,0.0,2549.375,705.0,63973.523,0.0,0.2,361.76373,0.0,Oct,2,2,6,2,New_Visitor,True,False
27.0,0.0,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,0.0,Nov,2,2,1,2,New_Visitor,False,False
27.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.0,0.0,0.0,Nov,1,1,2,7,Returning_Visitor,False,False
22.722902,0.0,24.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,May,2,4,3,3,Returning_Visitor,False,False
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,Nov,2,2,1,8,Returning_Visitor,True,False
27.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.0,361.76373,0.0,May,2,12,8,3,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,1.0,Dec,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,Nov,1,1,3,2,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,Nov,3,2,9,13,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.0,0.0,1.0,Nov,2,2,1,1,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.0,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.0,0.0,1.0,Jul,1,1,3,1,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,0.0,63973.523,0.0,0.2,0.0,1.0,Aug,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,705.0,63973.523,0.2,0.0,0.0,1.0,Nov,2,2,7,2,Returning_Visitor,True,True
27.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.0,361.76373,1.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,0.0,63973.523,0.0,0.2,361.76373,0.0,May,3,2,4,2,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.0,0.2,361.76373,0.0,Mar,1,1,8,3,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,705.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,0.0,63973.523,0.0,0.0,361.76373,1.0,Nov,2,2,3,1,Returning_Visitor,False,False
0.0,3398.75,24.0,2549.375,705.0,63973.523,0.0,0.0,361.76373,0.0,Aug,2,2,5,4,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.0,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
